FÁZA,TERMÍN,VR,DOM,NÁZOV,ORIENTÁCIA,PODLAŽIE,IZBY,INTERIÉR M²,EXTERIÉR M²,SPOLU M²,ZVÝHODNENÁ CENA,CENNÍKOVÁ CENA,STAV,POROVNAŤ
Plaza,2029,,T,T84,JV,8.,2,"49,71","5,47","55,18",-,-,P,
Plaza,2029,,T,T85,JZ,8.,3,"58,98","6,09","65,07",-,-,R,
Plaza,2029,,T,T87,Z,8.,2,"43,82","3,63","47,45",-,-,R,
Residence,2026,,O,O52,JZ,5.,3,"71,20","19,80","91,00",-,-,P,
Residence,2026,,O,O53,Z,5.,1,"32,87","5,92","38,79",-,-,P,
Residence,2026,,O,O54,SZ,5.,3,"76,05","13,88","89,93",-,-,P,
UP,2027,,S,S406,J,4.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S407,J,4.,1,"29,06","4,83","33,89",-,-,P,
UP,2027,,S,S408,J,4.,2,"43,78","4,83","48,61",-,-,P,
Plaza,2029,,T,T96,Z,9.,1,"31,29","3,21","34,50",-,-,P,
Plaza,2029,,T,T104,JV,10.,2,"49,71","4,79","54,50",-,-,P,
Plaza,2029,,T,T105,JZ,10.,3,"58,98","5,56","64,54",-,-,R,
Residence,2026,,O,O55,SV,5.,4,"93,53","19,80","113,33",-,-,P,
Residence,2026,,O,O56,V,5.,1,"32,86","5,92","38,78",-,-,P,
Residence,2026,,O,O58,J,5.,1,"32,59","5,92","38,51",-,-,P,
UP,2027,,S,S409,J,4.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S411,J,4.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S412,JV,4.,2,"52,61","4,83","57,44",-,-,P,
Plaza,2029,,T,T114,JV,11.,2,"49,71","5,24","54,95",-,-,P,
Plaza,2029,,T,T115,JZ,11.,3,"58,98","6,32","65,30",-,-,R,
Plaza,2029,,T,T123,JZ,12.,4,"96,78","6,09","102,87",-,-,P,
Residence,2026,,O,O61,J,6.,1,"32,59","5,92","38,51",-,-,P,
Residence,2026,,O,O62,JZ,6.,3,"71,20","19,80","91,00",-,-,P,
Residence,2026,,O,O63,Z,6.,1,"32,84","5,92","38,76",-,-,P,
UP,2027,,S,S413,SV,4.,2,"46,55","4,83","51,38",-,-,P,
UP,2027,,S,S415,S,4.,2,"46,10","4,83","50,93",-,-,P,
UP,2027,,S,S502,S,5.,2,"46,10","4,83","50,93",-,-,P,
Plaza,2029,,T,T133,JZ,13.,4,"96,78","6,32","103,10",-,-,P,
Residence,2026,,O,O64,SZ,6.,3,"76,05","19,80","95,85",-,-,P,
Residence,2026,,O,O65,SV,6.,4,"93,53","19,80","113,33",-,-,P,
Residence,2026,,O,O66,V,6.,1,"32,86","5,92","38,78",-,-,P,
UP,2027,,S,S505,J,5.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S506,J,5.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S508,J,5.,2,"43,78","4,83","48,61",-,-,P,
Plaza,2029,,U,U25,V,2.,1,"28,43","3,10","31,53",-,-,P,
Plaza,2029,,U,U29,Z,2.,2,"41,53","5,07","46,60",-,-,P,
Plaza,2029,,U,U212,Z,2.,1,"31,30","2,91","34,21",-,-,P,
Residence,2026,,O,O67,JV,6.,3,"71,20","19,80","91,00",-,-,R,
Residence,2026,,O,O68,J,6.,1,"32,59","5,92","38,51",-,-,P,
Residence,2026,,O,O71,J,7.,1,"32,59","5,92","38,51",-,-,P,
UP,2027,,S,S509,J,5.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S511,J,5.,1,"29,05","4,83","33,88",-,-,P,
UP,2027,,S,S512,JV,5.,2,"52,61","4,83","57,44",-,-,P,
Plaza,2029,,U,U213,Z,2.,2,"43,81","3,61","47,42",-,-,P,
Plaza,2029,,U,U31,SV,3.,2,"46,08","5,05","51,13",-,-,P,
Plaza,2029,,U,U32,V,3.,1,"28,73","2,85","31,58",-,-,P,
Residence,2026,,O,O72,JZ,7.,3,"71,20","19,80","91,00",-,-,P,
Residence,2026,,O,O74,SZ,7.,3,"76,05","13,88","89,93",-,-,P,
Residence,2026,,O,O75,SV,7.,2,"54,58","32,47","87,05",-,-,P,
UP,2027,,S,S601,S,6.,2,"46,10","4,83","50,93",-,-,P,
UP,2027,,S,S605,J,6.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S606,J,6.,1,"29,05","4,83","33,88",-,-,P,
Plaza,2029,,U,U33,V,3.,1,"28,58","2,60","31,18",-,-,P,
Plaza,2029,,U,U312,Z,3.,1,"31,30","3,23","34,53",-,-,P,
Plaza,2029,,U,U313,Z,3.,2,"43,81","4,00","47,81",-,-,R,
Residence,2026,,O,O76,JV,7.,3,"80,04","43,85","123,89",-,-,P,
Residence,2026,,O,O77,J,7.,1,"32,59","5,92","38,51",-,-,P,
Residence,2026,,O,O81,J,8.,4,"129,85","17,71","147,56",-,-,P,
UP,2027,,S,S608,J,6.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S609,J,6.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S611,J,6.,1,"29,05","4,83","33,88",-,-,P,
Plaza,2029,,U,U41,SV,4.,2,"46,08","5,05","51,13",-,-,P,
Plaza,2029,,U,U42,V,4.,1,"28,73","2,85","31,58",-,-,R,
Plaza,2029,,U,U46,Z,4.,1,"31,30","2,91","34,21",-,-,P,
Residence,2026,,O,O82,SZ,8.,3,"79,68","11,83","91,51",-,-,P,
Residence,2026,,O,O83,V,8.,5,"125,56","69,27","194,83",-,-,P,
Residence,2026,,O,O85,JZ,8.,5,"127,52","31,63","159,15",-,-,P,
UP,2027,,S,S612,JV,6.,2,"52,61","4,83","57,44",-,-,P,
UP,2027,,S,S613,SV,6.,2,"46,55","4,83","51,38",-,-,P,
UP,2027,,S,S704,JZ,7.,3,"76,73","4,83","81,56",-,-,P,
Plaza,2029,,U,U52,V,5.,1,"28,58","2,60","31,18",-,-,P,
Plaza,2029,,U,U64,JV,6.,2,"49,71","4,79","54,50",-,-,R,
Plaza,2029,,U,U65,JZ,6.,3,"58,90","5,56","64,46",-,-,P,
Residence,2026,,P,P11,JV,1.,4,"103,73","145,99","249,72",-,-,R,
Residence,2026,,P,P12,JZ,1.,3,"80,62","22,56","103,18",-,-,P,
Residence,2026,,P,P21,JV,2.,4,"103,73","11,84","115,57",-,-,P,
UP,2027,,S,S705,J,7.,2,"43,78","4,83","48,61",-,-,P,
UP,2027,,S,S712,JV,7.,2,"52,61","4,83","57,44",-,-,P,
UP,2027,,S,S713,SV,7.,2,"46,55","4,83","51,38",-,-,P,
Plaza,2029,,U,U67,Z,6.,2,"43,81","3,94","47,75",-,-,R,
Plaza,2029,,U,U75,JZ,7.,3,"58,90","6,31","65,21",-,-,P,
Plaza,2029,,U,U97,Z,9.,2,"43,81","4,00","47,81",-,-,P,
Residence,2026,,P,P22,JZ,2.,3,"80,59","13,88","94,47",-,-,P,
Residence,2026,,P,P23,Z,2.,2,"52,98","5,92","58,90",-,-,P,
Residence,2026,,P,P24,Z,2.,"1,5","38,56","5,92","44,48",-,-,P,
Plaza,2029,,U,U101,SV,10.,2,"46,20","5,52","51,72",-,-,P,
Plaza,2029,,U,U105,JZ,10.,3,"58,90","6,09","64,99",-,-,P,
Plaza,2029,,U,U113,V,11.,1,"28,31","2,86","31,17",-,-,P,
Residence,2026,,P,P25,Z,2.,2,"49,22","11,83","61,05",-,-,P,
Residence,2026,,P,P28,V,2.,1,"38,55","5,92","44,47",-,-,P,
Residence,2026,,P,P31,JV,3.,4,"103,73","19,80","123,53",-,-,P,
Plaza,2029,,U,U134,JV,13.,2,"49,71","5,23","54,94",-,-,R,
Plaza,2029,,U,U143,JZ,14.,4,"96,70","6,09","102,79",-,-,P,
Plaza,2029,,U,U02,Z,0.,2,"43,38","3,10","46,48",-,-,P,
Residence,2026,,P,P32,JZ,3.,3,"80,59","13,88","94,47",-,-,P,
Residence,2026,,P,P33,Z,3.,2,"52,98","11,83","64,81",-,-,P,
Residence,2026,,P,P34,Z,3.,1,"38,55","5,92","44,47",-,-,P,
Plaza,2029,,U,U03,Z,0.,1,"30,78","2,51","33,29",-,-,P,
Residence,2026,,P,P35,Z,3.,2,"49,22","5,92","55,14",-,-,P,
Residence,2026,,P,P36,SZ,3.,3,"75,80","5,92","81,72",-,-,P,
Residence,2026,,P,P41,JV,4.,4,"103,73","19,80","123,53",-,-,P,
Residence,2026,,P,P42,JZ,4.,3,"80,59","19,80","100,39",-,-,P,
Residence,2026,,P,P43,Z,4.,2,"52,98","5,92","58,90",-,-,P,
Residence,2026,,P,P44,Z,4.,1,"38,56","5,92","44,48",-,-,P,
Residence,2026,,P,P45,Z,4.,2,"49,22","5,92","55,14",-,-,P,
Residence,2026,,P,P46,SZ,4.,3,"75,80","5,92","81,72",-,-,P,
Residence,2026,,P,P47,SV,4.,4,"97,27","11,83","109,10",-,-,P,
Residence,2026,,P,P51,JV,5.,4,"103,73","19,80","123,53",-,-,P,
Residence,2026,,P,P52,JZ,5.,3,"80,59","19,80","100,39",-,-,P,
Residence,2026,,P,P53,Z,5.,2,"52,98","11,83","64,81",-,-,P,
Residence,2026,,P,P55,Z,5.,2,"49,22","5,92","55,14",-,-,P,
Residence,2026,,P,P56,SZ,5.,3,"75,80","13,88","89,68",-,-,P,
Residence,2026,,P,P57,SV,5.,4,"97,27","11,83","109,10",-,-,P,
Residence,2026,,P,P58,V,5.,3,"74,49","11,83","86,32",-,-,P,
Residence,2026,,P,P61,JV,6.,4,"103,73","19,80","123,53",-,-,P,
Residence,2026,,P,P62,JZ,6.,3,"80,59","19,80","100,39",-,-,P,
Residence,2026,,P,P63,Z,6.,2,"52,98","5,92","58,90",-,-,P,
Residence,2026,,P,P65,Z,6.,2,"49,22","5,92","55,14",-,-,P,
Residence,2026,,P,P66,SZ,6.,3,"75,80","5,92","81,72",-,-,R,
Residence,2026,,P,P67,SV,6.,4,"97,27","11,83","109,10",-,-,P,
Residence,2026,,P,P71,JV,7.,4,"103,73","19,80","123,53",-,-,P,
Residence,2026,,P,P72,JZ,7.,3,"80,59","19,80","100,39",-,-,P,
Residence,2026,,P,P73,Z,7.,2,"52,98","11,83","64,81",-,-,P,
Residence,2026,,P,P74,Z,7.,"1,5","38,55","5,92","44,47",-,-,P,
Residence,2026,,P,P75,Z,7.,2,"49,22","5,92","55,14",-,-,P,
Residence,2026,,P,P77,SV,7.,4,"97,27","11,83","109,10",-,-,P,
Residence,2026,,P,P81,JV,8.,4,"103,73","19,80","123,53",-,-,P,
Residence,2026,,P,P82,JZ,8.,3,"80,59","19,80","100,39",-,-,P,
Residence,2026,,P,P83,Z,8.,2,"52,83","5,92","58,75",-,-,P,
Residence,2026,,P,P85,SZ,8.,5,"109,24","42,16","151,40",-,-,P,
Residence,2026,,P,P86,SV,8.,3,"84,32","35,37","119,69",-,-,P,
Residence,2026,,P,P92,JZ,9.,5,"141,09","25,69","166,78",-,-,P,
Residence,2026,,P,P93,Z,9.,5,"140,16","23,62","163,78",-,-,P,
Residence,2026,,P,P94,SZ,9.,5,"132,26","68,35","200,61",-,-,P,
Residence,2026,,P,P95,SV,9.,3,"73,83","34,69","108,52",-,-,P,
Residence,2026,,P,P96,V,9.,4,"123,60","63,68","187,28",-,-,P,
Residence,2026,,P,P97,V,9.,3,"96,98","17,75","114,73",-,-,P,
Residence,2026,,R,R102,V,10.,2,"47,41","5,92","53,33",-,-,P,
Residence,2026,,R,R103,JV,10.,3,"78,92","19,80","98,72",-,-,P,
Residence,2026,,R,R104,JZ,10.,4,"99,07","25,72","124,79",-,-,P,
Residence,2026,,R,R105,Z,10.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R106,SZ,10.,4,"89,08","11,84","100,92",-,-,P,
Residence,2026,,R,R11,V,1.,3,"54,87","16,58","71,45",-,-,P,
Residence,2026,,R,R111,SV,11.,3,"70,30","11,84","82,14",-,-,R,
Residence,2026,,R,R112,V,11.,2,"47,41","11,83","59,24",-,-,P,
Residence,2026,,R,R113,JV,11.,4,"101,19","25,67","126,86",-,-,P,
Residence,2026,,R,R114,JZ,11.,3,"76,89","11,84","88,73",-,-,P,
Residence,2026,,R,R115,Z,11.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R116,SZ,11.,4,"89,08","11,83","100,91",-,-,P,
Residence,2026,,R,R122,V,12.,2,"47,41","5,92","53,33",-,-,P,
Residence,2026,,R,R123,JV,12.,3,"78,92","19,80","98,72",-,-,P,
Residence,2026,,R,R124,JZ,12.,4,"99,07","25,72","124,79",-,-,P,
Residence,2026,,R,R125,Z,12.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R126,SZ,12.,4,"89,08","11,84","100,92",-,-,P,
Residence,2026,,R,R131,SV,13.,3,"70,30","11,84","82,14",-,-,P,
Residence,2026,,R,R133,JV,13.,4,"101,11","17,71","118,82",-,-,P,
Residence,2026,,R,R134,JZ,13.,4,"76,89","19,18","96,07",-,-,P,
Residence,2026,,R,R135,Z,13.,2,"49,30","5,92","55,22",-,-,P,
Residence,2026,,R,R136,SZ,13.,4,"89,08","11,83","100,91",-,-,P,
Residence,2026,,R,R143,JV,14.,3,"78,92","19,80","98,72",-,-,P,
Residence,2026,,R,R144,JZ,14.,4,"99,07","25,72","124,79",-,-,P,
Residence,2026,,R,R145,Z,14.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R153,JV,15.,4,"101,19","25,67","126,86",-,-,P,
Residence,2026,,R,R154,JZ,15.,3,"76,89","11,84","88,73",-,-,P,
Residence,2026,,R,R163,JV,16.,3,"78,92","19,80","98,72",-,-,P,
Residence,2026,,R,R164,JZ,16.,4,"99,07","25,72","124,79",-,-,P,
Residence,2026,,R,R23,J,2.,1,"31,91","5,92","37,83",-,-,P,
Residence,2026,,R,R25,Z,2.,3,"68,04","11,83","79,87",-,-,P,
Residence,2026,,R,R26,Z,2.,2,"57,19","5,92","63,11",-,-,P,
Residence,2026,,R,R27,SZ,2.,3,"67,41","11,84","79,25",-,-,P,
Residence,2026,,R,R28,V,2.,2,"54,17","5,92","60,09",-,-,P,
Residence,2026,,R,R310,Z,3.,1,"28,07","5,92","33,99",-,-,P,
Residence,2026,,R,R312,V,3.,2,"54,29","5,92","60,21",-,-,P,
Residence,2026,,R,R314,V,3.,1,"34,84","5,92","40,76",-,-,P,
Residence,2026,,R,R315,V,3.,2,"52,54","5,92","58,46",-,-,P,
Residence,2026,,R,R32,V,3.,2,"47,41","11,83","59,24",-,-,P,
Residence,2026,,R,R33,JV,3.,3,"73,84","19,80","93,64",-,-,PR,
Residence,2026,,R,R34,J,3.,1,"31,91","5,87","37,78",-,-,P,
Residence,2026,,R,R35,JZ,3.,3,"72,30","11,79","84,09",-,-,R,
Residence,2026,,R,R36,Z,3.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R38,Z,3.,2,"51,10","5,92","57,02",-,-,P,
Residence,2026,,R,R39,Z,3.,1,"34,14","5,87","40,01",-,-,P,
Residence,2026,,R,R41,V,4.,3,"74,69","11,83","86,52",-,-,P,
Residence,2026,,R,R411,SV,4.,3,"84,75","32,34","117,09",-,-,R,
Residence,2026,,R,R42,V,4.,2,"47,41","5,92","53,33",-,-,P,
Residence,2026,,R,R43,JV,4.,3,"73,84","19,80","93,64",-,-,P,
Residence,2026,,R,R44,J,4.,1,"31,91","5,92","37,83",-,-,P,
Residence,2026,,R,R45,JZ,4.,3,"72,30","19,80","92,10",-,-,P,
Residence,2026,,R,R46,Z,4.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R47,Z,4.,3,"75,78","11,84","87,62",-,-,P,
Residence,2026,,R,R48,Z,4.,2,"51,10","11,83","62,93",-,-,P,
Residence,2026,,R,R49,Z,4.,1,"34,14","5,92","40,06",-,-,P,
Residence,2026,,R,R510,V,5.,2,"52,83","5,92","58,75",-,-,P,
Residence,2026,,R,R52,V,5.,2,"47,41","11,83","59,24",-,-,P,
Residence,2026,,R,R53,JV,5.,3,"73,84","11,79","85,63",-,-,P,
Residence,2026,,R,R55,JZ,5.,3,"72,30","19,75","92,05",-,-,P,
Residence,2026,,R,R56,Z,5.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R57,Z,5.,3,"75,78","11,83","87,61",-,-,P,
Residence,2026,,R,R58,SZ,5.,5,"114,64","50,33","164,97",-,-,P,
Residence,2026,,R,R59,SV,5.,3,"80,12","32,39","112,51",-,-,PR,
Residence,2026,,R,R61,V,6.,3,"74,70","11,83","86,53",-,-,P,
Residence,2026,,R,R62,V,6.,2,"47,41","5,92","53,33",-,-,P,
Residence,2026,,R,R63,JV,6.,3,"73,84","19,80","93,64",-,-,P,
Residence,2026,,R,R64,J,6.,1,"31,91","5,92","37,83",-,-,P,
Residence,2026,,R,R65,JZ,6.,3,"72,30","19,80","92,10",-,-,P,
Residence,2026,,R,R66,Z,6.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R67,Z,6.,3,"75,78","11,24","87,02",-,-,P,
Residence,2026,,R,R68,SZ,6.,5,"116,02","43,43","159,45",-,-,P,
Residence,2026,,R,R69,SV,6.,3,"72,55","39,21","111,76",-,-,P,
Residence,2026,,R,R71,V,7.,3,"74,70","11,84","86,54",-,-,P,
Residence,2026,,R,R72,V,7.,2,"47,41","11,83","59,24",-,-,P,
Residence,2026,,R,R73,JV,7.,3,"73,84","19,80","93,64",-,-,P,
Residence,2026,,R,R75,JZ,7.,3,"72,30","11,79","84,09",-,-,P,
Residence,2026,,R,R76,Z,7.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R77,Z,7.,2,"46,97","11,83","58,80",-,-,P,
Residence,2026,,R,R78,SZ,7.,4,"84,51","49,72","134,23",-,-,P,
Residence,2026,,R,R81,SV,8.,3,"80,82","38,68","119,50",-,-,P,
Residence,2026,,R,R82,V,8.,2,"47,41","5,92","53,33",-,-,P,
Residence,2026,,R,R83,JV,8.,3,"73,84","19,80","93,64",-,-,P,
Residence,2026,,R,R85,JZ,8.,3,"72,30","19,80","92,10",-,-,P,
Residence,2026,,R,R86,Z,8.,2,"49,37","11,83","61,20",-,-,P,
Residence,2026,,R,R87,Z,8.,2,"46,97","11,83","58,80",-,-,P,
Residence,2026,,R,R92,V,9.,2,"47,41","11,83","59,24",-,-,P,
Residence,2026,,R,R93,JV,9.,3,"73,84","11,79","85,63",-,-,R,
Residence,2026,,R,R95,JZ,9.,3,"72,30","19,75","92,05",-,-,P,
Residence,2026,,R,R96,Z,9.,2,"49,37","5,92","55,29",-,-,P,
Residence,2026,,R,R97,SZ,9.,4,"89,08","61,70","150,78",-,-,P,
